Before    InOrder
81         11
106         12
40         13
145         31
376         40
175         41
468         42
254         45
113         47
76         48
404         52
253         52
294         54
175         55
108         57
389         59
218         63
488         67
83         68
89         73
277         76
402         81
252         83
55         84
177         89
185         94
54         96
203         99
412         103
223         106
303         108
251         108
276         111
290         113
256         115
471         125
380         129
47         145
125         145
477         156
424         158
68         161
324         167
167         175
327         175
258         177
52         181
257         185
201         201
45         203
357         207
12         207
296         217
13         218
250         223
57         229
11         229
413         239
267         241
481         250
363         251
324         252
416         253
476         254
405         256
450         257
207         258
389         267
384         276
359         276
99         277
48         290
276         294
342         296
181         299
351         303
239         319
299         324
443         324
229         327
94         331
111         342
207         351
408         351
351         357
52         357
158         359
445         363
73         363
404         376
429         380
217         384
241         389
115         389
229         394
67         402
479         404
103         404
357         405
63         406
156         408
59         410
31         412
41         413
410         416
423         423
394         424
161         429
129         443
42         445
319         450
96         451
108         468
490         471
84         476
363         477
451         479
331         481
145         488
406         490

